SITE,ONLINE_GOODS_NUM,ORIGINAL,MODIFIED
UNIQLO,UQ31063593,"[00 White, 67 Blue] 면99％·폴리우레탄1％, [09 Black, 69 Navy] 면98％·폴리우레탄2％","[00 White, 64 Blue, 67 Blue] 면99％·폴리우레탄1％, [09 Black, 69 Navy] 면98％·폴리우레탄2％"
UNIQLO,UQ31078658,87%·폴리에스터9%·폴리우레탄4%,면87%·폴리에스터9%·폴리우레탄4%
UNIQLO,UQ31080856,2017년 1월~,기타100%
UNIQLO,UQ31080637,"[컬러03/04/08/33] 면44%·폴리에스터35%·나일론13%·아크릴6%·폴리우레탄2%, [컬러02/06] 아크릴44%·면41%·나일론11%·폴리우레탄2%·폴리에스터2%, [그 외 컬러] 면58%·아크릴25%·나일론13%·폴리에스터2%·폴리우레탄2%","[03 GRAY/04 GRAY/08 DARK GRAY/33 KHAKI] 면44%·폴리에스터35%·나일론13%·아크릴6%·폴리우레탄2%, [02 LIGHT GRAY/06 GRAY] 아크릴44%·면41%·나일론11%·폴리우레탄2%·폴리에스터2%, [그 외 컬러] 면58%·아크릴25%·나일론13%·폴리에스터2%·폴리우레탄2%"
UNIQLO,UQ31080164,"[00 WHITE] [재질] [테/렌즈] 폴리카보네이트, [광선특성] [필터 범주] 1, [시감투과율 범위] 43%","[00 WHITE] [재질] [테/렌즈] 폴리카보네이트 [08 DARK GRAY，16 RED] [재질] 테 : 폴리카보네이트, 렌즈 : 셀룰로오스 아세테이트 [그 외 컬러] [재질] [테/렌즈] 폴리카보네이트"
UNIQLO,UQ31068387,"[본체] [몸판] 겉감/안감 : 폴리에스터100%, [라이너] 겉감/충전재/안감 : 폴리에스터100%","[몸판:겉감/안감] 폴리에스터100%, [라이너:겉감/충전재/안감] 폴리에스터100%"
UNIQLO,UQ31070220,"[겉감] 나일론100%, [충전재] [몸판] 다운90%·깃털10%, [어깨 부분] 후드 목 부분/바깥쪽 : 다운90%·깃털10%, 안쪽 : 폴리에스터100%, [안감] 나일론100%","[겉감] 나일론100%, [충전재] [몸판] 다운90%·깃털10%, [후드 목 부분] 다운90%·깃털10%, [어깨 부분 바깥쪽] 다운90%·깃털10%, [어깨 부분 안쪽] 폴리에스터100%, [안감] 나일론100%"
UNIQLO,UQ31080888,"[겉감] 나일론100%, [충전재] [몸판] 다운90%·깃털10%, [어깨 부분] [옆구리 부분] 폴리에스터100%, [안감] 나일론100%, [리브 부분] 폴리에스터73%·면25%·폴리우레탄2%","[겉감] 나일론100%, [충전재] 다운90%·깃털10%, [어깨 부분] 폴리에스터100%, [옆구리 부분] 폴리에스터100%, [안감] 나일론100%, [리브 부분] 폴리에스터73%·면25%·폴리우레탄2%"
UNIQLO,UQ31086742,[09 Black/67 Blue] 면79%레이온10%폴리에스터7%폴리우레탄4%,면79%레이온10%폴리에스터7%폴리우레탄4%
UNIQLO,UQ31086721,"[53 GREEN/69 NAVY] [겉감] 면 68％·폴리에스터32％, [안감] 폴리에스터100％, [리브 부분] 면97％·폴리우레탄3％, [68 BLUE] [겉감] 폴리에스터56%·면44%, [안감] 폴리에스터100%, [리브 부분] 면58%·폴리에스터39%·폴리우레탄3%","[53 GREEN/69 NAVY] [겉감] 면 68％·폴리에스터32％, [안감] 폴리에스터100％, [리브 부분] 면97％·폴리우레탄3％, [68 BLUE] [겉감] 폴리에스터56%·면44%, [안감] 폴리에스터100%, [리브 부분] 면58%·폴리에스터39%·폴리우레탄3%, [그 외 컬러][겉감] 폴리에스터56%·면44%, [안감] 폴리에스터100%, [리브 부분] 면58%·폴리에스터39%·폴리우레탄3%"
